,pred
0,12.031148910841738
1,12.868419216101
2,17.948823572632453
3,81.69225127499907
4,164.7013386886333
5,273.4008425771835
6,421.89722412027044
7,542.9329196918936
8,574.5057101459328
9,613.8839787954818
10,566.7454929442152
11,564.6960785895023
12,540.0094507337607
13,509.3341953199472
14,464.41292450020404
15,404.1408461351638
16,281.09303536653584
17,210.3703377554113
18,136.5446614432778
19,53.2022812073879
20,20.863707152265118
21,11.388810635218473
22,3.0594513986637697
23,4.658031393119862
24,3.415950483921843
25,14.413043751309685
26,62.389394815896544
27,90.09783318926439
28,107.7311518763392
29,109.98990854136068
30,108.33348986290198
31,194.7332645088195
32,206.4909699237246
33,131.63905562350263
34,163.92921324533256
35,197.85542109854157
36,389.1785664742392
37,726.7681587466038
38,732.7227079600767
39,526.9226180780595
40,314.0762243509775
41,241.6716271697103
42,151.841670201424
43,71.46802671643724
44,23.214434477694788
45,15.53129891669884
46,4.989053415351497
47,3.428100779113175
48,4.33004202315116
49,12.856766287751672
50,72.39891554144407
51,185.74179489342396
52,586.1829816052323
53,335.0411414758603
54,180.56375032570392
55,194.29639838983863
56,203.69201053586875
57,213.92313717449892
58,194.42139007028882
59,270.8310714578408
60,360.89593131709165
61,723.1387808230554
62,729.0465618467248
63,510.0915209975272
64,378.60569409312234
65,300.97234607646715
66,167.22912682303527
67,83.86884720139876
68,38.418338549492816
69,16.523990232445076
70,8.688663780616501
71,3.8446479995654146
72,3.2277158414165195
73,12.577946108997494
74,139.7788045238284
75,383.02511759194124
76,641.4677941207605
77,304.775778084461
78,176.06062595257742
79,201.04306312440775
80,266.5185922464733
81,213.66718778128785
82,248.10687756252327
83,271.00877874548536
84,281.80849205459987
85,358.4001788188512
86,369.2888382342675
87,402.1182797071707
88,262.16300368055977
89,215.8672066586688
90,151.2790293827394
91,83.35395347731135
92,41.5712573420428
93,21.354028212434333
94,7.042966632527249
95,3.385395105195298
96,3.4378530869527952
97,23.38905468321003
98,133.5342909638312
99,377.1555240832732
100,611.3470451842973
101,307.7170764156731
102,201.87921375068612
103,225.49939225006892
104,298.93904941230267
105,309.57908582988034
106,275.25845160962723
107,285.0210978345543
108,395.06869530435694
109,722.4437546521285
110,700.7235518933107
111,549.334102080022
112,365.7395714823386
113,143.7324663200595
114,231.8085424854177
115,123.0024904731141
116,53.96493435959791
117,41.86723597555647
118,11.639970004371818
119,4.022951407103425
120,3.970560247505271
121,24.292430619541957
122,130.51049492071334
123,353.2374500194919
124,600.8275237394555
125,317.45959383851334
126,223.32310754004055
127,232.9500874201144
128,348.9945888841704
129,363.4661022100368
130,361.4158333666605
131,375.63049583393854
132,481.7640800940255
133,711.1045281969763
134,765.7153159764721
135,513.32341821951
136,360.59219995308
137,293.9451546086653
138,271.371728541134
139,194.69031038013162
140,138.58954683324447
141,95.58621135312666
142,65.33775587203365
143,27.7058300708867
144,9.926956511180366
145,3.7723496880284
146,19.85967195307583
147,107.50531729778191
148,210.03909207453884
149,268.362934319325
150,352.8618596311185
151,489.3170054064502
152,533.508198657994
153,551.125377497214
154,536.107964920503
155,528.5509765840156
156,524.4281865836605
157,576.0926616983131
158,570.0793787613458
159,418.24660411761425
160,306.46803690352016
161,266.4127923702355
162,278.5968656459268
163,190.40756160066468
164,129.06784917518945
165,96.01354926470958
166,70.24960442417267
167,34.11395676901454
168,9.104611290977305
169,8.01888444653041
170,20.74227817245778
171,102.86014829359154
172,174.59179769089434
173,250.7374689931021
174,361.112643584802
175,461.2010899221
176,509.65126235404983
177,550.1508553693965
178,534.9381229484565
179,542.5934249420561
180,505.6187552594136
181,527.2419767222773
182,513.8870240441781
183,392.213585118533
184,280.5973336803343
185,145.13444442056795
186,79.2083800424143
187,55.594177410481926
188,108.62473889228352
189,65.21338662812755
190,32.30598294341394
191,21.57084528031071
192,11.930084715699786
193,16.633029243457205
194,56.85110371169035
195,180.5596386260711
196,259.9572400858869
197,311.77757166897663
198,284.6265476199681
199,277.96225068900725
200,287.7082283168466
201,279.673353897014
202,280.57064324686166
203,288.7398279863894
204,446.2985839236944
205,636.7686636961814
206,622.7886161987586
207,441.9321776796138
208,287.6214635236017
209,238.71530648307072
210,141.4622283576326
211,71.97682316915625
212,30.050920999108214
213,17.530096003564303
214,8.566916833217327
215,3.5090926700441956
216,3.447201978392974
217,24.350064033563104
218,145.59981969541582
219,339.30637766252073
220,596.8640891023547
221,324.3577707266583
222,204.56246525124686
223,226.39318013945152
224,287.91382400589777
225,283.09479710251264
226,266.62042518497765
227,281.293049634591
228,367.4401776397665
229,701.7576850104768
230,694.994827383177
231,500.35140826878603
232,225.94602942254687
233,122.43537586187738
234,134.2580268491479
235,50.47235371212858
236,27.52684654262443
237,10.203932335098703
238,4.0332992752961685
239,3.040204989138361
240,3.4583835644809455
241,22.800543651513223
242,132.32899070185692
243,273.8267530863341
244,611.4722517100237
245,328.6422842810946
246,202.3236299676112
247,223.52983472716625
248,313.54021282379136
249,309.6690116979492
250,287.2795625415254
251,283.72151152303934
252,375.32319961625274
253,741.4120479135946
254,798.7484771080461
255,498.8336980281785
256,311.2627575076709
257,292.8631750324148
258,190.63385285931798
259,89.03689200487122
260,45.5879810127896
261,26.237409645245048
262,7.146702954224303
263,3.953023823377143
264,3.702837749013713
265,26.09614840638996
266,147.04493454746654
267,364.9386301590596
268,609.394543382375
269,337.01416605422025
270,213.35780292973627
271,242.31251439689663
272,319.24122620453426
273,309.1072022461991
274,277.66949992848345
275,285.363447758208
276,396.816376943186
277,778.5142324495832
278,769.8143736401149
279,493.0444252403814
280,368.0788150147793
